coaster_name,Length,Speed,Status,Manufacturer,Model,Height,Lift/launch system,G-force,Designer,Track layout,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean
Racer (1910 roller coaster),"4,500 ft (1,400 m)",40 mph (64 km/h),Operating,Charlie Mach,Racing,72.5 ft (22.1 m),lift,,John A. Miller,Möbius Loop,Wood,1927-01-01,40.0,,0
The Great Scenic Railway,"967 m (3,173 ft)",60 km/h (37 mph),Operating,LaMarcus Thompson,,16 m (52 ft),lift,,,,Wood,1912-12-01,37.3,52.5,0
Jack Rabbit (Kennywood),"2,132 ft (650 m)",45 mph (72 km/h),Operating,Harry C. Baker,,40 ft (12 m),lift,,John A. Miller,"Terrain, Out and Back roller coaster",Wood,1920-01-01,45.0,,0
Scenic Railway (roller coaster),"3,000 ft (910 m)",35 mph (56 km/h),Operating,,Scenic Railway,40 ft (12 m),lift,,,,Wood,1920-07-03,35.0,,0
Roller Coaster (Lagoon),"762 m (2,500 ft)",45 mph (72 km/h),Operating,,,18.9 m (62 ft),lift,,John A. Miller,Double Out and Back,Wood,1921-07-15,45.0,62.0,0
Giant Dipper,"2,640 ft (800 m)",55 mph (89 km/h),Operating,Arthur Looff,,70 ft (21 m),lift,,"Frank Prior, Frederick Church",Double Out and Back,Wood,1924-05-17,55.0,,0
Pippin (roller coaster),"3,250 ft (990 m)",55 mph (89 km/h),Operating,,,70 ft (21 m),lift,,Andy Vettel (1968)John A. Miller (1924),Terrain,Wood,1968-01-01,55.0,,0
Thunderhawk (Dorney Park),"2,767 ft (843 m)",45 mph (72 km/h),Operating,Philadelphia Toboggan Coasters,,80 ft (24 m),lift,,Herbert Paul Schmeck,Out and Back / Twister,Wood,1924-03-30,45.0,,0
Giant Dipper (Belmont Park),"2,600 ft (790 m)",48 mph (77 km/h),Operating,"Frank Prior, Fredrick Church",Twister,70 ft (21 m),lift,,"Frank Prior, Fredrick Church","8 layers laminated wood strips with 1/4""x3"" wide steel rail",Wood,1925-07-04,48.0,,0
Coney Island Cyclone,"2,640 ft (800 m)",60 mph (97 km/h),Operating,,,85 ft (26 m),lift,3.75,Vernon Keenan,Compact Twister,Other,1927-06-26,60.0,,0
