coaster_name,Length,Speed,Status,Manufacturer,Height,Lift/launch system,Designer,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean,Model
The Great Scenic Railway,"967 m (3,173 ft)",60 km/h (37 mph),Operating,LaMarcus Thompson,16 m (52 ft),lift,Unknown,Wood,1912-12-01,37.3,52.5,0,Unknown
Yankee Cannonball,"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),Operating,Philadelphia Toboggan Coasters,19.8 m (65 ft),lift,Herbert Paul Schmeck,Wood,1930-01-01,35.0,65.0,0,Unknown
Vuoristorata,"960 m (3,150 ft)",60 km/h (37 mph),Operating,"Linnanmäki, led by Svend Jarlström",24 m (79 ft),lift,Valdemar Lebech[3],Wood,1951-07-13,37.3,78.7,0,Unknown
Dragon Fyre,"658.5 m (2,160 ft)",80 km/h (50 mph),Operating,Arrow Dynamics,23.8 m (78 ft),lift,HUSS Park Attractions,Steel,1981-01-01,49.7,78.1,4,Unknown
Ghoster Coaster (Canada's Wonderland),"413.3 m (1,356 ft)",56 km/h (35 mph),Operating,Taft Broadcasting,12.5 m (41 ft),lift,Curtis D. Summers,Wood,1981-05-23,34.8,41.0,0,Unknown
Mighty Canadian Minebuster,"1,166.8 m (3,828 ft)",89.9 km/h (55.9 mph),Operating,Canada's Wonderland,27.4 m (90 ft),lift,Curtis D. Summers,Wood,1981-01-01,55.9,89.9,0,Unknown
Python (Efteling),"750 m (2,460 ft)",75 km/h (47 mph),Operating,Vekoma,29 m (95 ft),lift,Vekoma,Steel,1981-04-12,46.6,95.1,4,Unknown
Wilde Beast,"960 m (3,150 ft)",90 km/h (56 mph),Operating,Taft Broadcasting Company,25 m (82 ft),lift,Curtis D. Summers,Wood,1981-01-01,55.9,82.0,0,Unknown
Lisebergbanan,"1,548 m (5,079 ft)",80 km/h (50 mph),Operating,Zierer,45 m (148 ft),lift,"Werner Stengel, Anton Schwarzkopf",Steel,1987-04-18,49.7,147.6,0,Unknown
Eurosat - CanCan Coaster,"900 m (3,000 ft)",60 km/h (37 mph),Operating,Mack Rides,25.5 m (84 ft),lift,Unknown,Steel,1989-01-01,37.3,83.7,0,Unknown
Goudurix,"950 m (3,120 ft)",90 km/h (56 mph),Operating,Vekoma,36 m (118 ft),lift,Vekoma,Steel,1989-01-01,55.9,118.1,7,Unknown
Vortex (Canada's Wonderland),"719.5 m (2,361 ft)",55 mph (89 km/h),Operating,Arrow Dynamics,27.8 m (91 ft),lift,Unknown,Steel,1991-05-12,55.0,91.2,0,Unknown
Condor (roller coaster),"662 m (2,172 ft)",80 km/h (50 mph),Operating,Vekoma,31 m (102 ft),lift,Unknown,Steel,1994-05-01,49.7,101.7,5,Unknown
Hakugei (roller coaster),"1,530 m (5,020 ft)",107 km/h (66 mph),Operating,Rocky Mountain Construction,55 m (180 ft),lift,Unknown,Steel,2019-03-28,66.5,180.4,3,Jet Star 3 / Jumbo Jet
Nemesis (roller coaster),"716 m (2,349 ft)",81 km/h (50 mph),Operating,Bolliger & Mabillard,13 m (42.7 ft),lift,Werner Stengel,Steel,1994-03-19,50.3,42.7,4,Unknown
Dragon Khan,"1,285 m (4,216 ft)",104.6 km/h (65.0 mph),Operating,Bolliger & Mabillard,45.1 m (148 ft),lift,John Wardley (layout) Ing.-Büro Stengel GmbH (mechanical role),Steel,1995-05-02,65.0,148.0,8,Wildcat - 54m
Flight Deck (Canada's Wonderland),"689.01 m (2,260.5 ft)",79.99 km/h (49.70 mph),Operating,Vekoma,33.31 m (109.3 ft),lift,Unknown,Steel,1995-01-01,49.7,109.3,5,Z64
The Barnstormer,207 m (679 ft),40.2 km/h (25.0 mph),Operating,Vekoma,9.1 m (30 ft),lift,Walt Disney Imagineering,Steel,1996-10-01,25.0,29.9,0,144a
